Time,UUID,RSSI
20231101 11:16:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:16:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72
20231101 11:16:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:16:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:16:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87
20231101 11:16:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55
20231101 11:16:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20231101 11:16:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:16:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72
20231101 11:16:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73
20231101 11:16:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:16:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:16:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53
20231101 11:16:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:16:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64
20231101 11:16:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72
20231101 11:16:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73
20231101 11:16:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:16:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
